date,time,pick,conf,value,away,home,away_runs,home_runs,away_wp,home_wp,away_ml,home_ml,away_sp,home_sp,model_mode,away_vector_run_delta,home_vector_run_delta,away_vector_xwoba,home_vector_xwoba,vector_edge,vector_xwoba_edge,vector_gate,result,game_pk,model_version
2026-06-14,1:40 PM ET,NYM,8,8,ATL,NYM,5.3,6.8,37.3,62.7,+106,-125,Bryce Elder,Freddy Peralta,,,,,,,,,,,
2026-06-14,3:10 PM ET,CHC,10,10,CHC,SF,9.3,5.5,70.8,29.2,+110,-133,Ryan Rolison,Logan Webb,,,,,,,,,,,
2026-06-14,4:07 PM ET,TB,8,8,TB,LAA,7.8,6.0,60.3,39.7,-120,-100,Casey Legumina,Grayson Rodriguez,,,,,,,,,,,
2026-06-14,7:20 PM ET,TEX,8,8,TEX,BOS,7.1,5.4,60.8,39.2,-102,-118,Nathan Eovaldi,Connelly Early,,,,,,,,,,,
2026-06-15,6:45 PM ET,WSH,9,9,KC,WSH,6.9,9.8,33.0,67.0,+111,-135,Mitch Spence,Andrew Alvarez,,,,,,,,,,,
2026-06-15,7:45 PM ET,STL,8,8,SD,STL,5.4,7.8,32.3,67.7,+125,-153,Wandy Peralta,Dustin May,,,,,,,,,,,
2026-06-15,8:05 PM ET,CHC,10,10,COL,CHC,5.6,12.1,18.1,81.9,+172,-210,Michael Lorenzen,Shota Imanaga,,,,,,,,,,,
2026-06-15,8:10 PM ET,HOU,10,10,DET,HOU,5.5,8.4,30.0,70.0,-101,-118,Troy Melton,Kai-Wei Teng,,,,,,,,,,,
2026-06-16,6:45 PM ET,TOR,9,9,TOR,BOS,8.3,5.5,66.5,33.5,-120,-100,Dylan Cease,Payton Tolle,,,,,,,,,,,
2026-06-16,7:05 PM ET,CWS,9,9,CWS,NYY,7.9,5.7,63.0,37.0,+121,-145,Davis Martin,Gerrit Cole,,,,,,,,,,,
2026-06-16,7:45 PM ET,STL,8,8,SD,STL,6.1,7.5,39.2,60.8,-100,-120,Michael King,Andre Pallante,,,,,,,,,,,
2026-06-16,9:40 PM ET,SEA,9,9,BAL,SEA,4.6,6.7,31.9,68.1,+125,-150,Brandon Young,Logan Gilbert,,,,,,,,,,,
2026-06-16,9:40 PM ET,LAA,8,8,LAA,AZ,8.3,6.5,59.5,40.5,-108,-110,Reid Detmers,Merrill Kelly,,,,,,,,,,,
2026-06-17,1:05 PM ET,KC,8,8,KC,WSH,8.2,6.4,59.6,40.4,+110,-135,Luinder Avila,Zack Littell,,,,,,,,,,,
2026-06-17,2:15 PM ET,SD,8,8,SD,STL,7.3,5.7,59.6,40.4,+105,-130,Bradgley Rodriguez,Kyle Leahy,,,,,,,,,,,
2026-06-17,6:45 PM ET,BOS,8,8,TOR,BOS,6.0,7.5,38.4,61.6,+106,-125,Max Scherzer,Jake Bennett,,,,,,,,,,,
2026-06-17,7:05 PM ET,NYY,9,9,CWS,NYY,4.4,7.7,24.9,75.1,+148,-180,Anthony Kay,Carlos Rodón,,,,,,,,,,,
2026-06-17,7:15 PM ET,SF,10,10,SF,ATL,19.3,11.9,69.3,30.7,+115,-138,Carson Whisenhunt,JR Ritchie,,,,,,,,,,,
2026-06-17,7:40 PM ET,CLE,9,9,CLE,MIL,6.9,4.8,64.5,35.5,+105,-125,Gavin Williams,Brandon Sproat,,,,,,,,,,,
2026-06-17,9:40 PM ET,BAL,10,10,BAL,SEA,11.6,7.0,70.1,29.9,+110,-130,Kyle Bradish,George Kirby,,,,,,,,,,,
2026-06-17,9:40 PM ET,PIT,9,9,PIT,ATH,8.9,6.0,65.8,34.2,-128,+108,Braxton Ashcraft,Aaron Civale,,,,,,,,,,,
2026-06-18,6:40 PM ET,NYM,10,10,NYM,PHI,10.9,6.7,69.4,30.6,-100,-120,Sean Manaea,Aaron Nola,,,,,,,,,,,
2026-06-18,7:15 PM ET,ATL,8,8,SF,ATL,5.3,7.1,35.4,64.6,+115,-139,Landen Roupp,Martín Pérez,,,,,,,,,,,
2026-06-19,10:10 PM ET,LAD,10,10,BAL,LAD,5.1,10.4,19.8,80.2,+164,-199,Trey Gibson,Roki Sasaki,,,,,,,,,,,
2026-06-19,2:20 PM ET,TOR,8,8,TOR,CHC,6.5,5.0,60.3,39.7,+105,-122,Kevin Gausman,Ben Brown,,,,,,,,,,,
2026-06-19,7:10 PM ET,MIA,8,8,SF,MIA,5.3,6.9,36.7,63.3,-102,-118,Landen Roupp,Lake Bachar,,,,,,,,,,,
2026-06-19,7:10 PM ET,TB,8,8,WSH,TB,5.7,7.3,37.4,62.6,+105,-125,Cade Cavalli,Griffin Jax,,,,,,,,,,,
2026-06-20,10:10 PM ET,MIN,8,8,MIN,AZ,9.2,7.4,58.3,41.7,+110,-130,Taj Bradley,Zac Gallen,,,,,,,,,,,
2026-06-21,1:40 PM ET,CWS,9,9,CWS,DET,7.7,5.4,64.2,35.8,-100,-120,Davis Martin,Keider Montero,,,,,,,,,,,
2026-06-21,2:10 PM ET,HOU,10,10,CLE,HOU,4.3,8.4,21.2,78.8,+110,-133,Slade Cecconi,Kai-Wei Teng,,,,,,,,,,,
2026-06-21,3:10 PM ET,PIT,8,8,PIT,COL,12.4,8.0,67.5,32.5,-151,+125,Jared Jones,Michael Lorenzen,,,,,,,,,,,
2026-06-21,4:05 PM ET,ATH,8,8,LAA,ATH,5.8,7.8,35.3,64.7,+111,-135,Reid Detmers,Jack Perkins,,,,,,,,,,,
2026-06-21,4:10 PM ET,SEA,8,8,BOS,SEA,3.5,5.0,32.7,67.3,+110,-135,Payton Tolle,Logan Gilbert,,,,,,,,,,,
2026-06-22,6:40 PM ET,TEX,9,9,TEX,MIA,6.7,4.7,64.2,35.8,+110,-131,Tyler Alexander,Tyler Phillips,,,,,,,,,,,
2026-06-22,6:45 PM ET,PHI,8,8,PHI,WSH,6.5,4.8,62.0,38.0,+103,-124,Alan Rangel,Foster Griffin,,,,,,,,,,,
2026-06-23,4:07 PM ET,TOR,9,9,HOU,TOR,5.7,8.0,33.5,66.5,+107,-128,Peter Lambert,Shane Bieber,,,,,,,,,,,
2026-06-23,6:40 PM ET,PIT,8,8,SEA,PIT,7.5,9.2,39.3,60.7,-132,+110,George Kirby,Mitch Keller,,,,,,,,,,,
2026-06-23,7:10 PM ET,NYM,9,9,CHC,NYM,6.2,8.5,34.5,65.5,-114,-105,Edward Cabrera,Kodai Senga,,,,,,,,,,,
2026-06-23,7:40 PM ET,CWS,9,9,CLE,CWS,4.2,6.1,32.1,67.9,-115,-105,Parker Messick,Sean Burke,,,,,,,,,,,
2026-06-23,7:40 PM ET,MIN,8,8,LAD,MIN,5.5,6.9,38.3,61.7,-183,+149,Justin Wrobleski,Kendry Rojas,,,,,,,,,,,
2026-06-23,8:40 PM ET,COL,10,10,BOS,COL,5.6,8.3,31.2,68.8,-165,+136,Sonny Gray,Sean Sullivan,,,,,,,,,,,
2026-06-24,2:10 PM ET,CLE,8,8,CLE,CWS,8.2,6.3,60.3,39.7,-113,-105,Tanner Bibee,Erick Fedde,,,,,,,,,,,
2026-06-24,6:45 PM ET,WSH,10,10,PHI,WSH,5.7,9.5,26.7,73.3,-125,+105,Aaron Nola,Carson Palmquist,,,,,,,,,,,
2026-06-24,7:07 PM ET,TOR,9,9,HOU,TOR,6.0,8.7,32.1,67.9,+120,-144,Mike Burrows,Trey Yesavage,,,,,,,,,,,
2026-06-24,7:10 PM ET,CHC,8,8,CHC,NYM,14.3,11.7,57.6,42.4,-108,-110,Shota Imanaga,Sean Manaea,,,,,,,,,,,
2026-06-24,7:10 PM ET,MIL,10,10,MIL,CIN,11.2,6.5,71.5,28.5,-133,+110,Shane Drohan,Rhett Lowder,,,,,,,,,,,
2026-06-24,9:45 PM ET,ATH,10,10,ATH,SF,8.1,5.1,68.5,31.5,-115,-105,Gage Jump,Tyler Mahle,,,,,,,,,,,
2026-06-25,12:35 PM ET,SEA,8,8,SEA,PIT,7.9,5.2,66.8,33.2,-151,+125,Bryce Miller,Bubba Chandler,,,,,,,,,,,
2026-06-25,3:45 PM ET,ATH,9,9,ATH,SF,8.3,6.3,60.9,39.1,+110,-133,Jeffrey Springs,Landen Roupp,,,,,,,,,,,
